"","can","come","day","first","give","good","great","ill","know","last","let","like","look","make","much","now","one","place","said","say","take","tell","thing","think","time","two","well","what","will","year","back","better","everi","mean","never","see","talk","want","just"
"Act I Sc 5 - R & J (Lit).txt",1,9,2,3,2,6,2,6,3,1,6,3,2,5,3,9,3,1,1,2,4,3,1,1,1,3,3,4,7,3,0,0,0,0,0,0,0,0,0
"Act II, Sc 1 - JC (Lit).txt",5,6,9,3,6,10,3,1,10,0,15,4,5,6,6,3,7,1,2,3,1,3,4,8,3,1,8,1,21,1,1,1,8,5,2,2,2,0,0
"Act II, Sc 2 - R & J (Lit).txt",2,4,0,1,3,9,0,8,3,0,4,3,2,1,1,0,2,2,0,6,3,3,1,2,3,1,2,2,8,1,4,1,0,0,2,2,0,2,0
"Act III, Sc 1 - J C (Lit).txt",1,10,3,6,2,5,3,1,10,3,8,4,5,2,2,9,4,7,1,8,3,4,1,1,5,1,6,0,14,3,3,1,2,3,2,7,1,0,0
"Act III, Sc 2 - J C (Lit).txt",1,14,2,15,5,5,2,0,12,1,15,1,2,3,1,6,0,4,0,9,3,3,2,0,1,0,13,0,40,0,3,2,3,1,2,3,0,0,1
"Act V, Sc 3 - R & J (Lit).txt",7,20,3,6,10,5,1,7,6,2,5,0,7,4,1,1,5,5,2,3,6,2,2,3,5,1,2,1,18,0,2,1,0,4,2,6,2,1,0
"Christopher Walking - Pop Smoke (Music).txt",0,3,0,0,0,0,0,0,2,0,0,8,0,1,0,1,2,0,1,1,0,0,0,2,0,1,0,0,0,0,3,0,0,0,2,1,2,6,1
"CL - F1 (Sport).txt",5,3,4,6,1,8,2,1,7,12,1,17,2,8,11,9,10,1,6,4,3,1,6,26,10,6,9,1,8,7,3,2,3,11,3,8,3,10,20
"CS - F1 (Sport).txt",8,2,1,2,0,7,1,0,5,5,2,13,4,0,3,5,8,0,3,1,1,2,3,15,4,11,3,1,5,4,3,0,2,3,2,8,2,0,8
"Dior - Pop Smoke (Music).txt",0,1,0,0,0,0,0,1,3,0,4,15,0,1,0,0,3,0,1,0,1,1,0,0,3,0,0,0,0,0,4,0,0,0,1,0,0,1,0
"Element - Pop Smoke (Music).txt",1,0,0,0,0,1,0,2,0,0,0,10,0,1,0,1,1,0,2,0,1,2,0,0,1,0,0,1,0,0,0,0,1,0,1,2,1,0,2
"Elena Rybanika - Tennis (Sport).txt",3,2,1,2,3,3,1,1,3,3,0,2,2,0,2,2,1,0,1,2,0,2,0,4,3,0,4,0,0,3,2,2,2,1,0,1,1,1,5
"Gael Monfils - Tennis (Sport).txt",9,2,2,7,1,10,4,2,16,10,0,5,2,1,6,2,3,1,2,6,6,3,1,6,11,1,21,3,4,10,2,7,2,0,3,0,1,5,5
"Merci Beaucoup - Pop Smoke (Music).txt",1,1,0,0,0,1,0,0,10,0,1,7,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,2,1
"OP - F1 (Sport).txt",5,1,0,4,0,4,2,0,5,4,2,2,1,1,3,4,7,2,1,3,0,2,2,16,0,0,1,0,0,2,0,1,2,2,1,0,0,1,4
"Rafael Nadal - Tennis (Sport).txt",12,2,5,6,10,1,1,0,12,7,2,7,0,5,2,4,9,7,5,8,0,3,16,10,12,2,4,3,10,2,3,12,2,13,2,6,5,10,10
